uid,days,date,time.first.trial,lat.totouch.s.day,success
25,9,20-Jun-18,7:50,15,0
25,10,21-Jun-18,7:28,8,1
61,1,3-Jun-18,8:38,NA,0
23,1,3-Jun-18,8:53,155,0
59,1,3-Jun-18,8:04,28,0
59,2,5-Jun-18,8:00,3,0
59,3,6-Jun-18,10:00,13,0
59,4,7-Jun-18,7:25,53,0
59,5,8-Jun-18,11:03,3,0
59,6,19-Jun-18,7:20,8,0
59,7,20-Jun-18,6:58,271,1
59,8,21-Jun-18,9:12,1,0
59,9,22-Jun-18,8:38,1,1
59,10,18-Jul-18,8:42,23,0
43,1,10-Jun-18,9:03,32,0
43,2,12-Jun-18,7:09,8,0
43,3,13-Jun-18,7:33,3,0
43,4,14-Jun-18,7:26,122,0
43,5,15-Jun-18,7:32,42,0
43,6,24-Jun-18,7:05,493,0
43,7,25-Jun-18,7:03,148,0
43,8,26-Jun-18,7:09,246,0
42,1,10-Jun-18,7:42,NA,0
42,2,12-Jun-18,7:01,4,0
42,3,13-Jun-18,6:53,197,0
42,4,14-Jun-18,7:26,73,0
42,5,15-Jun-18,7:25,NA,0
42,6,24-Jun-18,7:18,365,0
42,7,25-Jun-18,7:19,NA,0
42,8,26-Jun-18,7:25,NA,0
15,1,18-Jun-18,10:46,NA,0
15,2,19-Jun-18,11:23,25,0
15,3,22-Jun-18,9:56,50,0
7,1,14-Jun-18,9:29,NA,0
7,2,24-Jun-18,8:21,16,0
7,3,25-Jun-18,6:57,4,0
60,1,3-Jun-18,8:45,1,0
60,2,8-Jun-18,7:30,NA,0
60,3,19-Jun-18,7:07,31,0
60,4,20-Jun-18,7:09,NA,0
60,5,21-Jun-18,7:17,NA,0
60,6,22-Jun-18,7:08,2,0
60,7,18-Jul-18,10:03,16,0
19,1,3-Jun-18,10:03,NA,0
19,2,18-Jun-18,9:47,6,0
19,3,19-Jun-18,9:39,NA,0
19,4,18-Jul-18,9:47,6,0
3,1,10-Jun-18,7:59,8,0
3,2,12-Jun-18,10:06,1,0
3,3,24-Jun-18,8:14,71,0
3,4,25-Jun-18,9:19,36,0
3,5,26-Jun-18,7:27,3,0
17,1,3-Jun-18,9:06,6,0
17,2,18-Jun-18,8:50,546,0
17,3,19-Jun-18,7:39,32,0
17,4,21-Jun-18,7:34,119?,0
17,5,22-Jun-18,7:34,17,0
8,1,10-Jun-18,7:57,,0
8,2,13-Jun-18,7:18,107,0
8,3,14-Jun-18,8:27,NA,0
8,4,15-Jun-18,7:22,1,0
8,5,24-Jun-18,8:55,36,0
8,6,26-Jun-18,7:04,6,0
4,1,10-Jun-18,8:21,2,0
4,2,12-Jun-18,10:03,NA,0
4,3,13-Jun-18,8:24,13,0
4,4,14-Jun-18,10:52,NA,0
4,5,24-Jun-18,8:14,NA,0
20,1,3-Jun-18,8:04,14,0
20,2,18-Jun-18,8:21,906?,0
20,3,19-Jun-18,7:58,151,0
20,4,20-Jun-18,9:02,4,0
20,5,18-Jul-18,8:54,55,0
18,1,19-Jun-18,12:39,12,0
13,1,3-Jun-18,9:24,NA,0
45,1,10-Jun-18,10:34,2,0
45,2,15-Jun-18,7:57,2,0
45,3,24-Jun-18,9:20,6,0
