col,uid_ini,uid_rec,uid_win,interac_type,sexi,sexr
br,56,52,56,disp_proximity,M,F
br,55,NA,NA,greet,F,NA
br,56,NA,NA,agr_grab/slap/push,M,NA
br,56,NA,56,agr_box,M,NA
br,56,NA,56,agr_box,M,NA
br,NA,56,56,sit_bc,NA,M
br,56,NA,NA,greet,M,NA
br,56,NA,NA,sniff_ag,M,NA
br,56,NA,56,greet,M,NA
br,56,NA,NA,play_pounce,M,NA
br,56,NA,NA,greet,M,NA
br,NA,NA,NA,sit_bc,NA,NA
br,56,55,56,sit_bc,M,F
br,56,55,NA,sit_<1m,M,F
br,NA,55,55,play_chase,NA,F
br,NA,55,55,play_chase,NA,F
br,NA,55,55,play_pounce,NA,F
br,56,NA,56,sniff_ag,M,NA
br,56,NA,56,play_grab/slap/push,M,NA
br,56,NA,56,sniff_ag,M,NA
br,56,NA,56,sniff_ag,M,NA
br,NA,56,56,play_bite,NA,M
br,56,NA,56,play_grab/slap/push,M,NA
br,NA,56,56,play_bite,NA,M
br,55,56,56,sit_bc,F,M
br,NA,56,NA,greet,NA,M
br,56,52,56,play_chase,M,F
br,54,56,56,greet,F,M
br,54,56,NA,sit_<1m,F,M
br,54,56,56,play_wrestle,F,M
br,54,56,NA,greet,F,M
br,56,NA,NA,greet,M,NA
br,56,NA,56,agr_chase,M,NA
br,56,52,56,agr_chase,M,F
mm,14,12,NA,play_chase,F,M
mm,19,20,19,greet,F,F
mm,19,20,19,sit_<1m,F,F
mm,19,20,NA,sit_<1m,F,F
mm,20,NA,NA,sit_bc,F,NA
mm,20,NA,NA,sit_<1m,F,NA
mm,NA,NA,NA,greet,NA,NA
mm,20,NA,20,greet,F,NA
mm,20,NA,20,disp_proximity,F,NA
mm,22,NA,NA,sit_<1m,F,NA
mm,22,NA,NA,greet,F,NA
mm,NA,20,NA,play_wrestle,NA,F
mm,NA,20,NA,sit_<1m,NA,F
mm,NA,NA,NA,agr_chase,NA,NA
mm,17,18,18,agr_chase,F,M
mm,17,13,17,agr_chase,F,M
mm,NA,20,NA,sniff_ag,NA,F
mm,19,20,20,sit_<1m,F,F
mm,19,20,NA,fg_tog,F,F
mm,NA,20,NA,play_grab/slap/push,NA,F
mm,NA,NA,NA,sit_<1m,NA,NA
mm,NA,23,NA,agr_wrestle,NA,F
mm,NA,23,NA,agr_grab/slap/push,NA,F
mm,NA,NA,NA,play_wrestle,NA,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,NA,20,NA,agr_bite,NA,F
mm,20,NA,NA,sit_<1m,F,NA
mm,20,NA,20,agr_wrestle,F,NA
mm,20,NA,20,agr_chase,F,NA
mm,20,NA,20,sit_bc,F,NA
mm,NA,23,NA,sit_<1m,NA,F
mm,NA,20,NA,sit_<1m,NA,F
mm,20,NA,NA,sniff_ag,F,NA
mm,NA,20,20,greet,NA,F
mm,20,NA,20,agr_grab/slap/push,F,NA
mm,NA,NA,NA,play_chase,NA,NA
mm,21,15,15,sit_bc,F,M
mm,15,21,NA,sit_bc,M,F
mm,21,15,NA,sit_<1m,F,M
mm,21,15,NA,allogroom,F,M
mm,20,NA,NA,sit_<1m,F,NA
mm,20,19,NA,sit_<1m,F,F
mm,NA,20,NA,greet,NA,F
mm,NA,20,NA,sit_bc,NA,F
mm,NA,20,NA,sit_<1m,NA,F
mm,NA,20,NA,greet,NA,F
mm,NA,20,NA,sit_bc,NA,F
mm,NA,20,NA,sit_<1m,NA,F
mm,NA,20,NA,sex_mount,NA,F
mm,NA,20,20,play_bite,NA,F
mm,20,NA,20,play_grab/slap/push,F,NA
mm,20,NA,20,play_mouthspar,F,NA
mm,NA,20,NA,greet,NA,F
mm,NA,NA,NA,greet,NA,NA
mm,NA,20,20,sit_<1m,NA,F
mm,20,NA,NA,greet,F,NA
mm,20,NA,20,sit_<1m,F,NA
mm,20,NA,20,greet,F,NA
mm,20,NA,NA,greet,F,NA
mm,20,NA,NA,greet,F,NA
mm,20,NA,20,greet,F,NA
mm,20,NA,NA,greet,F,NA
mm,20,NA,NA,sit_bc,F,NA
mm,NA,NA,NA,greet,NA,NA
